Hotel Name,Price (SAR),Rating,Reviews,Address,Check-in,Check-out,Search Area,Religious_Context,Latitude,Longitude,Stay_Duration,City_Madinah,City_Makkah,City_Taif,Season_Type_Hajj Peak,Season_Type_Pre-Hajj,Season_Type_Ramadan Season,Season_Type_Regular Umrah,Price_Category_Budget,Price_Category_Mid-Range,Price_Category_Premium,Price_Category_Luxury
بيست ويسترن أجياد مكة | Best Western Ajyad Makkah,-0.08224072129545623,-0.667504722263453,-0.29741384037968766,"Lat: 21.418094800000002, Lng: 39.8345549",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.4180948,39.8345549,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق الرحاب,-0.08224072129545623,-0.667504722263453,-0.23340227312888054,"Lat: 21.413779299999998, Lng: 39.8275522",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.4137793,39.8275522,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق سجى اجياد,-0.08224072129545623,-1.3266977488682032,-0.33125435045495516,"Lat: 21.4156409, Lng: 39.8299375",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.4156409,39.8299375,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق سنود أجياد | Snood Ajyad Hotel,-0.08224072129545623,-0.8872357311317024,-0.1811125693077594,"Lat: 21.4204629, Lng: 39.8293088",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.4204629,39.8293088,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق انوار الضيافة,-0.08224072129545623,-0.8872357311317024,-0.2572537169771112,"Lat: 21.4205306, Lng: 39.830311699999996",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.4205306,39.8303117,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق أزكى الصفا,-0.08224072129545623,0.21141931320954838,-0.023529953113893408,"Lat: 21.420312199999998, Lng: 39.829733999999995",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.4203122,39.829734,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق ميزاب (السابق),-0.11552180726210058,-0.8872357311317024,-0.2934385997383159,"Lat: 21.4116905, Lng: 39.857999299999996",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4116905,39.8579993,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق نجمة الابرار,-0.1304516402190999,-0.8872357311317024,-0.34185499216527987,"Lat: 21.416064799999997, Lng: 39.8548404",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4160648,39.8548404,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق رفاهية 2,-0.1721307572240564,-0.4477737133952027,-0.3467475960315836,"Lat: 21.4107217, Lng: 39.865635",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4107217,39.865635,0.0,False,True,False,False,False,True,False,True,False,False,False
Al Olayan Plaza Hotel فندق العليان بلازا,-0.039628489730687284,-0.22804270452695236,-0.2638791180460642,"Lat: 21.412913, Lng: 39.8650608",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.412913,39.8650608,0.0,False,True,False,False,False,True,False,False,True,False,False
